时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°),Q0,Q1,Q2,Q3
"2025-04-20T04:22:37.504Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.505Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.505Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.561Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0200,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.562Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0200,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.563Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0200,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.563Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0200,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.564Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0200,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.564Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0200,0.0068,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.681Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0073,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.682Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0073,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.682Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0073,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.683Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0073,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.684Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0073,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.684Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0073,1.0229,0.00,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.801Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,-0.06,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.803Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,-0.06,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.803Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,-0.06,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.804Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,-0.06,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.805Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,-0.06,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.806Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,-0.06,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.892Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,-0.06,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.893Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,-0.06,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.894Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,-0.06,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.894Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,-0.06,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.895Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,-0.06,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
"2025-04-20T04:22:37.896Z",RDq3CupwznE8HZ3qARUTgQ==,"WT901BLE67",0.0195,0.0063,1.0234,-0.06,0.00,0.00,0.38,-1.09,0.00,0.999908,0.003357,-0.009552,0.000000
